languagehaveworkedwith,languagewanttoworkwith,databasehaveworkedwith,databasewanttoworkwith,webframehaveworkedwith,webframewanttoworkwith
HTML/CSS;Java;JavaScript;PHP;Visual Basic (.Net),HTML/CSS;JavaScript;Kotlin;PHP;Python;TypeScript,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Cloud Firestore;Firebase Realtime Database;MongoDB;SQLite,ASP.NET CORE;CodeIgniter;Express;jQuery;Laravel;Lit;Node.js;React,Laravel;Node.js;React
HTML/CSS;JavaScript;PHP;Ruby;SQL,HTML/CSS;JavaScript;PHP;SQL,Couch DB;Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,MySQL;PostgreSQL,Angular;AngularJS;CodeIgniter;Drupal;Gatsby;jQuery;Laravel;React;Ruby on Rails;Vue.js;WordPress,Laravel;Next.js;React;WordPress
Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Lua;PHP;SQL,Assembly;Bash/Shell (all shells);C;C++;Dart;Go;Haskell;HTML/CSS;JavaScript;Kotlin;PHP;SQL,MariaDB;Microsoft SQL Server;PostgreSQL;SQLite,Cassandra;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite;Supabase,Angular;ASP.NET;ASP.NET CORE;Blazor;Express;Laravel,CodeIgniter;Django;Elm;Express;FastAPI;Flask;Gatsby;Laravel;Ruby on Rails;Vue.js
Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;SQL;TypeScript,MongoDB;MySQL;PostgreSQL;Redis,Cassandra;MongoDB;PostgreSQL;Redis,Express;Next.js;Node.js,Next.js;Node.js
C#;Dart;HTML/CSS;JavaScript;Kotlin;PHP;Python;SQL;Visual Basic (.Net),Rust;TypeScript,MariaDB;Microsoft Access;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Cloud Firestore;Elasticsearch;Firebase Realtime Database,jQuery;Laravel;Node.js;WordPress,AngularJS;Next.js;Nuxt.js;React;Vue.js
C++;Dart;HTML/CSS;Python,Dart;JavaScript;Rust;SQL;Swift,Cloud Firestore,Firebase Realtime Database;MySQL;Oracle,Django,Angular;AngularJS;Node.js;React
C#;JavaScript;PHP;Ruby;SQL,C#;Dart;Go;JavaScript;PHP;SQL,MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,CodeIgniter;jQuery,ASP.NET CORE;CodeIgniter;jQuery
C#,Bash/Shell (all shells);C#;C++;F#;Go;PowerShell;Rust;TypeScript,PostgreSQL,MongoDB;PostgreSQL;Redis;SQLite,ASP.NET CORE;React,ASP.NET CORE;Blazor;Next.js;Node.js;React;Svelte
Dart;JavaScript;Kotlin;PHP,JavaScript,MySQL;SQLite,MySQL;SQLite,,
C#;Clojure;HTML/CSS;JavaScript;PHP,Ada,Dynamodb;MariaDB;Microsoft SQL Server;MySQL;Redis,Microsoft SQL Server;Redis,ASP.NET CORE;jQuery;Laravel;Node.js;React;Ruby on Rails,ASP.NET CORE
Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell,Bash/Shell (all shells);HTML/CSS;JavaScript,PostgreSQL,,Next.js;React;Vue.js,React
Go;Python;Rust,Go;Python;Rust,BigQuery;Elasticsearch;PostgreSQL;Redis,PostgreSQL;Redis,Flask,Flask
C#;HTML/CSS;JavaScript;PHP;SQL,C#;Go;JavaScript;Python,MariaDB;Microsoft SQL Server;PostgreSQL;Redis;SQLite;Supabase,,Angular;AngularJS;Express;NestJS;Next.js;Node.js;Nuxt.js;Qwik;React;Remix;Svelte;Vue.js;WordPress,Svelte
HTML/CSS;JavaScript,Dart;HTML/CSS;JavaScript,Cloud Firestore,Cloud Firestore;Supabase,React;Vue.js,Node.js;Nuxt.js;Vue.js
HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,Cloud Firestore;Firebase Realtime Database,,React;WordPress,Next.js;React
HTML/CSS;JavaScript;PHP;Python;SQL;VBA,Go;HTML/CSS;JavaScript;Kotlin;TypeScript,MariaDB;MySQL;Oracle;PostgreSQL,MariaDB;MongoDB;MySQL;PostgreSQL,CodeIgniter;Express;jQuery;Laravel;Node.js;Symfony;WordPress,CodeIgniter;Express;Flask;jQuery;Laravel;Node.js;Spring Boot;Vue.js
Java;Python;SQL,Java,MySQL,MySQL;Oracle;PostgreSQL,,
Elixir;Erlang;Rust;TypeScript,Elixir;Rust;TypeScript,Elasticsearch;PostgreSQL;Redis;Supabase,Elasticsearch;PostgreSQL;Redis,jQuery;Next.js;Phoenix;React;Ruby on Rails;Svelte;Vue.js,Next.js;Phoenix;React
Ada;Scala,Ada;SQL,BigQuery,BigQuery,Angular,Angular
HTML/CSS;JavaScript;Lua,Go;HTML/CSS;JavaScript;Lua;SQL,,,Deno,Deno
Bash/Shell (all shells);C;C++;Python,Assembly;Bash/Shell (all shells);C;JavaScript;SQL,,,,
Delphi;PowerShell,Delphi;PowerShell,Microsoft SQL Server;PostgreSQL;SQLite,Microsoft SQL Server;PostgreSQL;SQLite,,
JavaScript;TypeScript,JavaScript;TypeScript,Microsoft SQL Server;PostgreSQL,Microsoft SQL Server;PostgreSQL,Express;Next.js;React;Vue.js,Express;Next.js;React
Ada;Apex;APL;Assembly;Bash/Shell (all shells);C;C#,Ada,BigQuery,,Angular,
Bash/Shell (all shells);C;C#;C++;Dart;GDScript;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);GDScript;Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,MariaDB;MongoDB;PostgreSQL;Redis;SQLite;Supabase,PostgreSQL;Redis;Supabase,Express;Fastify;NestJS;Next.js;Node.js;React;Spring Boot,Next.js;Node.js;React
C;GDScript;HTML/CSS;Java;JavaScript;PHP;Python;TypeScript,C++;HTML/CSS;TypeScript,MongoDB,MySQL,Django;Express;jQuery;Node.js,Express;jQuery;Next.js;React;Vue.js
Bash/Shell (all shells);JavaScript;Python,Bash/Shell (all shells);JavaScript;Python,PostgreSQL,PostgreSQL,Django;FastAPI;React,Django;FastAPI;React
Bash/Shell (all shells);Go;Python;Rust;SQL,TypeScript,MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Cassandra;Cockroachdb;Couchbase;DuckDB,FastAPI;Flask,
Bash/Shell (all shells);Ruby,Bash/Shell (all shells);C++;Go;JavaScript;Lua;Ruby;Rust;TypeScript,PostgreSQL;Redis,MongoDB;PostgreSQL;Redis,Ruby on Rails,Express;FastAPI;Ruby on Rails
HTML/CSS;JavaScript;Python;TypeScript,C#;HTML/CSS;JavaScript;Julia;Python;Rust;Solidity;TypeScript,Cloud Firestore,Cloud Firestore;MongoDB;PostgreSQL,Flask;React;Vue.js,Deno;Next.js;Nuxt.js;React;Svelte;Vue.js
Bash/Shell (all shells);Dart;Go;Kotlin;SQL,Bash/Shell (all shells);Go;Rust;SQL,MySQL;PostgreSQL;Redis,Elasticsearch;MongoDB;PostgreSQL,,
C++;Go;Nim;OCaml;Rust,C++;F#;GDScript;Go;Nim;Zig,Cockroachdb;MariaDB;PostgreSQL,MariaDB,Elm;Next.js;Nuxt.js;Svelte,
HTML/CSS;JavaScript;PHP;SQL,Elixir;HTML/CSS;JavaScript;PHP;SQL,MariaDB;MySQL;SQLite,PostgreSQL;SQLite,Laravel,Express;Laravel;Phoenix;WordPress
