programming language,job amount,average salary,location,manager,full stack,front end,back end,software developer/engineer,mobile developer,devops,game developer,QA engineer,data scientist,data analyst,machine learning engineer,AI engineer,programmer,other analyst,other developer,other engineer,others
AL,5,5022470.8556217095,"['Central Java', 'Banten', 'Jakarta']",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1
jasper,3,11754785.899224805,"['Banten', 'Jakarta']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
PowerBuilder,1,11000000.0,['Jakarta'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SRL,2,11632178.848837208,['Central Java'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Logos,2,6813000.0,['Jakarta'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Virgil,1,11000000.0,['Jakarta'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dale,1,11000000.0,['Jakarta'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUCID,1,11000000.0,['Banten'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CUDA,2,15000000.0,['Jakarta'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
LINQ,1,12264357.697674418,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JOVIAL,2,12264357.697674418,['Jakarta'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
APL,3,6019884.435550963,['Jakarta'],0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
BASIC A+,6,3509775.333982419,"['Yogyakarta', 'Jakarta']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
Cell,2,7407602.577650769,['Jakarta'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
MIMIC,4,5400189.961071825,"['East Java', 'West Java']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
Charity,2,6520336.743574051,"['West Nusa Tenggara', 'Central Java']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Meson,1,12264357.697674418,['Jakarta'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DYNAMO,1,12264357.697674418,['Jakarta'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Haskell,3,9026520.950991984,"['Central Java', 'Jakarta']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
PLANNER,2,12264357.697674418,['Jakarta'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Gherkin,3,6075217.678632851,['Jakarta'],0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Objective-C,2,12264357.697674418,['Jakarta'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
frame,4,5278802.215552111,['Jakarta'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Tea,1,31222900.0,['Jakarta'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sqlalchemy,6,3709826.3210376888,['Jakarta'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Erlang,14,3291520.9981992943,['Jakarta'],0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,3,0
